X,Y,park_name,dpp_asset_id,program_type,site_class,building,gym,label_number,comments,data_source,objectid
-8369752.91618931,4867220.6222262,Harry S McDevitt Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,132
-8367471.14260982,4869385.90761714,Happy Hollow Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,133
-8356711.86835316,4869432.50237396,Wissinoming Park,,PPR_REC,A,Y,N,,,Programs 10/2025,134
-8348761.99910603,4874516.75263145,Torresdale Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,135
-8368851.00677196,4862738.74807775,Athletic Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,136
-8376914.24615892,4852065.13417236,Eastwick Regional Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,137
-8364344.65179204,4864354.29175565,Frank S Nelson Jr Memorial Recreation Center,,PPR_REC,A,Y,N,,2019-2020 Renovations Complete,Programs 10/2025,138
-8360650.14587578,4868089.79885813,Tacony Creek Park,,PPR_REC,A,Y,N,,Located in Tacony Creek Park,Programs 10/2025,139
-8366524.75349981,4864316.27245855,Marie Winchester Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,140
-8370974.50474691,4856677.87469758,Jacob Stinger Park,,PPR_REC,B,N,N,,,Programs 10/2025,141
-8371324.03849296,4860992.83943805,Norman (Butch) Ellis Playground,,PPR_REC,B,Y,N,, ,Programs 10/2025,142
-8353406.00480256,4872145.0805079,Lincoln Indoor Pool,,POOL,S,Y,N,,"School District Property/Facility;PPR Programs (Ramp)",Programs 10/2025,143
-8373656.94641217,4869330.07809956,Venice Island Performing Arts and Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,144
-8369819.1499111,4855111.44040183,Thomas B Smith Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,145
-8367155.28783691,4855234.52422899,East Passyunk Community Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,146
-8365150.64443609,4856174.32887552,Ralph R Rizzo Sr Ice Rink,,PPR_REC,A,Y,N,, ,Programs 10/2025,147
-8376581.01501994,4860029.79057741,Cobbs Creek Park,,PPR_REC,S,Y,N,,Located within Cobbs Creek Park,Programs 10/2025,148
-8360600.4649763,4866501.65408591,Juniata Park Older Adult Center,,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 10/2025,149
-8355547.28191487,4878666.86699346,Pennypack Park,,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within Pennypack Park,Programs 10/2025,150
-8374996.25976275,4877764.38690973,Wissahickon Valley Park,,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within the Andorra Natural Area which is within Wissahickon Valley Park,Programs 10/2025,151
-8376837.8333664,4858967.60011652,Cobbs Creek Park,,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located in Cobbs Creek Park. Rebuild completed fall 2025.,Programs 10/2025,152
-8367839.92271955,4863026.11361734,Dr Martin Luther King Jr Older Adult Center,,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 10/2025,153
-8366128.38964881,4875301.89137285,West Oak Lane Senior Center,,OLDER_ADULT_CENTER,S,Y,N,,Not City-Owned Property,Programs 10/2025,154
-8364303.48541303,4865978.09369964,Ramonita Negron Rivera Recreation and Community Center,,OLDER_ADULT_CENTER,S,Y,N,,Located in same building as Rivera.,Programs 10/2025,155
-8354674.28367076,4875032.13138877,George C Pelbano Playground,,OLDER_ADULT_CENTER,S,Y,N,,Located on same property as George C Pelbano Playground,Programs 10/2025,156
-8367054.75740217,4855974.14588664,South Philadelphia Older Adult Center,,OLDER_ADULT_CENTER,S,Y,N,,,Programs 10/2025,157
-8372087.96227701,4862898.41720066,West Fairmount Park,,POOL,S,N,N,,Located in West Fairmount Park,Programs 10/2025,158
-8362223.95149505,4865220.12832093,McPherson Square,,PPR_REC,B,N,N,,,Programs 10/2025,159
-8360119.08947775,4863469.32644261,Reverend M Monkiewicz Recreation Center,,PPR_REC,A,Y,N,,Site Closed.,Programs 10/2025,160
-8355956.10968091,4868308.19805148,Victor J Moss Memorial Field,,PPR_REC,B,Y,N,,,Programs 10/2025,161
-8365492.25264908,4855876.32284209,Nelson M Herron Playground and Recreation Center,,PPR_REC,B,Y,N,,,Programs 10/2025,162
-8371110.25295058,4862089.42507348,Clayborne and Lewis Playground,,PPR_REC,B,Y,N,,,Programs 10/2025,163
-8370836.41898242,4860713.87916057,37th and Mount Vernon Playground,,PPR_REC,B,N,N,,,Programs 10/2025,164
-8370202.97338218,4860862.81082859,33rd and Wallace Playground,,PPR_REC,B,Y,N,,,Programs 10/2025,165
-8363552.02241436,4872272.52541767,Fisher Park,,PPR_REC,B,Y,N,,,Programs 10/2025,166
-8353650.8464878,4870627.16384589,Senator William Vincent Mullin Playground,,PPR_REC,B,Y,N,,,Programs 10/2025,167
-8360883.11574836,4863346.24584509,Thomas P Stokley Recreation Center,,PPR_REC,B,N,N,,No Programmable Building on site,Programs 10/2025,168
-8366478.52107683,4854766.15155188,James Otis Ford Playground,,POOL,S,N,N,,Pool only seasonally staffed by PPR.,Programs 10/2025,169
-8368360.96147041,4871713.7211053,Morton Playground,,PPR_REC,B,Y,N,,,Programs 10/2025,170
-8374610.31264305,4854807.97247645,George Connell Park,,PPR_REC,B,Y,N,,,Programs 10/2025,171
